Фото,Товар,Бренд,Категория,Артикул,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://basket-24.wbbasket.ru/vol4214/part421486/421486149/images/c246x328/1.webp,Фигурка в бутылке Ракушки,Сималенд,Фигурки,421486149,6 582 ₽,74 шт.,"7 334,00 ₽",80 шт.,92 ₽,79 ₽,"88,63 ₽"
https://basket-10.wbbasket.ru/vol1507/part150797/150797502/images/c246x328/1.webp,"Свеча в торт на шпажке Разноцветные грани цифра 6, 9,3х3,7см",Сималенд,Свечи для торта,150797502,10 714 ₽,74 шт.,"0,00 ₽",0 шт.,158 ₽,141 ₽,"145,92 ₽"
https://basket-10.wbbasket.ru/vol1493/part149340/149340359/images/c246x328/1.webp,Часовой механизм для часов,Соломон,Механизмы для часов,149340359,8 963 ₽,74 шт.,"1 440,00 ₽",10 шт.,138 ₽,117 ₽,"122,34 ₽"
https://basket-17.wbbasket.ru/vol2749/part274996/274996886/images/c246x328/1.webp,Гирлянда Бахрома 25 м,Luazon Lighting,Гирлянды интерьерные,274996886,166 514 ₽,74 шт.,"6 198,00 ₽",2 шт.,2 328 ₽,2 215 ₽,"2 263,18 ₽"
https://basket-27.wbbasket.ru/vol5037/part503759/503759461/images/c246x328/1.webp,Ёлочные шары новогодние набор 6 шт,Зимнее волшебство,Елочные украшения,503759461,94 128 ₽,74 шт.,"9 412,00 ₽",7 шт.,1 280 ₽,1 033 ₽,"1 147,52 ₽"
https://basket-03.wbbasket.ru/vol422/part42268/42268391/images/c246x328/1.webp,"Еловая ветка, новогодний декор 50 см",Зимнее волшебство,Елочные украшения,42268391,15 414 ₽,74 шт.,"6 652,00 ₽",31 шт.,251 ₽,202 ₽,"224,67 ₽"
https://basket-16.wbbasket.ru/vol2550/part255000/255000073/images/c246x328/1.webp,"Новогоднее украшение ""Дедушка мороз"" 21х73 см",Сималенд,Аксессуары для рукоделия,255000073,16 070 ₽,73 шт.,"6 864,00 ₽",30 шт.,247 ₽,202 ₽,"222,52 ₽"
https://basket-28.wbbasket.ru/vol5274/part527479/527479442/images/c246x328/1.webp,Зеркало настенное с подсветкой с сенсорной кнопкой 50×50см,,Интерьерные зеркала,527479442,106 242 ₽,73 шт.,"33 295,00 ₽",21 шт.,2 224 ₽,1 384 ₽,"1 703,19 ₽"
https://basket-16.wbbasket.ru/vol2563/part256340/256340965/images/c246x328/1.webp,"Новогодние украшения Конфетка набор 2 шт 12,5х3,5 см",Зимнее волшебство,Елочные украшения,256340965,12 172 ₽,73 шт.,"1 259,00 ₽",7 шт.,196 ₽,158 ₽,"173,73 ₽"
https://basket-10.wbbasket.ru/vol1492/part149220/149220697/images/c246x328/1.webp,Ремешок для часов 22 мм 20 см натуральная кожа,Соломон,Браслеты для часов,149220697,15 196 ₽,73 шт.,"0,00 ₽",0 шт.,226 ₽,195 ₽,"203,47 ₽"
https://basket-19.wbbasket.ru/vol3223/part322317/322317007/images/c246x328/1.webp,"Резинка для волос Мюриэль изыск круг, 5 см, чёрный",Queen fair,Резинки,322317007,8 215 ₽,73 шт.,"3 548,00 ₽",31 шт.,125 ₽,103 ₽,"113,39 ₽"
https://basket-11.wbbasket.ru/vol1651/part165130/165130165/images/c246x328/1.webp,"Мебельная ручка торцевая, 600мм",CAPPIO,Ручки мебельные,165130165,13 832 ₽,73 шт.,"0,00 ₽",0 шт.,224 ₽,189 ₽,"192,63 ₽"
https://basket-12.wbbasket.ru/vol1668/part166819/166819909/images/c246x328/1.webp,очки для девушки солнцезащитные,OneSun,Солнцезащитные очки,166819909,14 382 ₽,73 шт.,"12 711,00 ₽",74 шт.,488 ₽,156 ₽,"240,52 ₽"
https://basket-11.wbbasket.ru/vol1621/part162184/162184767/images/c246x328/1.webp,"Пепельница бездымная ""Девушка и пальмы""",Сималенд,Пепельницы,162184767,21 170 ₽,73 шт.,"64 387,00 ₽",213 шт.,290 ₽,287 ₽,"289,25 ₽"
https://basket-15.wbbasket.ru/vol2308/part230856/230856481/images/c246x328/1.webp,Серьги Круг,Queen fair,Серьги,230856481,13 526 ₽,73 шт.,"6 571,00 ₽",35 шт.,205 ₽,177 ₽,"192,63 ₽"
https://basket-16.wbbasket.ru/vol2588/part258836/258836285/images/c246x328/1.webp,Скошенная кисть с щеточкой набор,QF,Кисти косметические,258836285,8 125 ₽,73 шт.,"2 413,00 ₽",21 шт.,126 ₽,103 ₽,"112,26 ₽"
https://basket-16.wbbasket.ru/vol2409/part240994/240994364/images/c246x328/1.webp,"Крем мужской для увеличения, Ночной снайпер",Vitamuno,Кремы,240994364,26 992 ₽,73 шт.,"11 661,00 ₽",31 шт.,429 ₽,341 ₽,"381,22 ₽"
https://basket-15.wbbasket.ru/vol2291/part229116/229116550/images/c246x328/1.webp,Кошелёк на молнии,Сималенд,Кошельки,229116550,27 482 ₽,73 шт.,"14 320,00 ₽",37 шт.,391 ₽,360 ₽,"375,88 ₽"
https://basket-16.wbbasket.ru/vol2539/part253915/253915312/images/c246x328/1.webp,Керамическая ваза для цветов и сухоцветов декор дома,Сималенд,Вазы,253915312,20 600 ₽,73 шт.,"22 353,00 ₽",76 шт.,310 ₽,258 ₽,"281,71 ₽"
